CPCLI>>> CoreId     Event      Count-Value
CPCLI>>>   0        0x45       44046
CPCLI>>>   0        0x84       0
CPCLI>>>   0        0x85       815
CPCLI>>>   0        0xc0       57651723
CPCLI>>>   1        0x45       27796
CPCLI>>>   1        0x84       27
CPCLI>>>   1        0x85       1745
CPCLI>>>   1        0xc0       8578888
CPCLI>>>   2        0x45       445515
CPCLI>>>   2        0x84       8233
CPCLI>>>   2        0x85       1313
CPCLI>>>   2        0xc0       601466078
CPCLI>>>   3        0x45       652694
CPCLI>>>   3        0x84       43495
CPCLI>>>   3        0x85       4458
CPCLI>>>   3        0xc0       878670335
CPCLI>>>   4        0x45       24561
CPCLI>>>   4        0x84       175
CPCLI>>>   4        0x85       701
CPCLI>>>   4        0xc0       42751321
CPCLI>>>   5        0x45       1671
CPCLI>>>   5        0x84       0
CPCLI>>>   5        0x85       198
CPCLI>>>   5        0xc0       666176
CPCLI>>>   6        0x45       25586
CPCLI>>>   6        0x84       5916
CPCLI>>>   6        0x85       2524
CPCLI>>>   6        0xc0       17322822
CPCLI>>>   7        0x45       825
CPCLI>>>   7        0x84       0
CPCLI>>>   7        0x85       168
CPCLI>>>   7        0xc0       245926
CPCLI>>>   8        0x45       66909
CPCLI>>>   8        0x84       8098
CPCLI>>>   8        0x85       1957
CPCLI>>>   8        0xc0       104337961
CPCLI>>>   9        0x45       20877
CPCLI>>>   9        0x84       0
CPCLI>>>   9        0x85       2958
CPCLI>>>   9        0xc0       4354687
CPCLI>>>  10        0x45       77322
CPCLI>>>  10        0x84       130
CPCLI>>>  10        0x85       10682
CPCLI>>>  10        0xc0       15480082
CPCLI>>>  11        0x45       104769
CPCLI>>>  11        0x84       10030
CPCLI>>>  11        0x85       3466
CPCLI>>>  11        0xc0       59844422
CPCLI>>>  48        0x45       1534
CPCLI>>>  48        0x84       0
CPCLI>>>  48        0x85       336
CPCLI>>>  48        0xc0       451002
CPCLI>>>  49        0x45       755
CPCLI>>>  49        0x84       4
CPCLI>>>  49        0x85       69
CPCLI>>>  49        0xc0       437995
CPCLI>>>  50        0x45       154741
CPCLI>>>  50        0x84       5913
CPCLI>>>  50        0x85       1015
CPCLI>>>  50        0xc0       288844913
CPCLI>>>  51        0x45       415154
CPCLI>>>  51        0x84       17017
CPCLI>>>  51        0x85       2070
CPCLI>>>  51        0xc0       253450564
CPCLI>>>  52        0x45       521
CPCLI>>>  52        0x84       0
CPCLI>>>  52        0x85       50
CPCLI>>>  52        0xc0       371685
CPCLI>>>  53        0x45       511
CPCLI>>>  53        0x84       0
CPCLI>>>  53        0x85       51
CPCLI>>>  53        0xc0       362642
CPCLI>>>  54        0x45       117013
CPCLI>>>  54        0x84       7795
CPCLI>>>  54        0x85       1146
CPCLI>>>  54        0xc0       118740103
CPCLI>>>  55        0x45       3358
CPCLI>>>  55        0x84       0
CPCLI>>>  55        0x85       223
CPCLI>>>  55        0xc0       1505574
CPCLI>>>  56        0x45       683
CPCLI>>>  56        0x84       0
CPCLI>>>  56        0x85       129
CPCLI>>>  56        0xc0       427691
CPCLI>>>  57        0x45       56092
CPCLI>>>  57        0x84       0
CPCLI>>>  57        0x85       6912
CPCLI>>>  57        0xc0       13183279
CPCLI>>>  58        0x45       4451
CPCLI>>>  58        0x84       0
CPCLI>>>  58        0x85       712
CPCLI>>>  58        0xc0       1117051
CPCLI>>>  59        0x45       93044458
CPCLI>>>  59        0x84       3358449
CPCLI>>>  59        0x85       110629
CPCLI>>>  59        0xc0       66256450454
