CPCLI>>> CoreId     Event      Count-Value
CPCLI>>>   0        0x45       43836
CPCLI>>>   0        0x84       120
CPCLI>>>   0        0x85       1381
CPCLI>>>   0        0xc0       53427354
CPCLI>>>   1        0x45       146533
CPCLI>>>   1        0x84       7668
CPCLI>>>   1        0x85       2265
CPCLI>>>   1        0xc0       107796706
CPCLI>>>   2        0x45       1904
CPCLI>>>   2        0x84       0
CPCLI>>>   2        0x85       207
CPCLI>>>   2        0xc0       729846
CPCLI>>>   3        0x45       252464
CPCLI>>>   3        0x84       37463
CPCLI>>>   3        0x85       4767
CPCLI>>>   3        0xc0       338149175
CPCLI>>>   4        0x45       566
CPCLI>>>   4        0x84       0
CPCLI>>>   4        0x85       69
CPCLI>>>   4        0xc0       182907
CPCLI>>>   5        0x45       20651
CPCLI>>>   5        0x84       2076
CPCLI>>>   5        0x85       1177
CPCLI>>>   5        0xc0       8896895
CPCLI>>>   6        0x45       544
CPCLI>>>   6        0x84       0
CPCLI>>>   6        0x85       55
CPCLI>>>   6        0xc0       222196
CPCLI>>>   7        0x45       405940
CPCLI>>>   7        0x84       15907
CPCLI>>>   7        0x85       2485
CPCLI>>>   7        0xc0       139287744
CPCLI>>>   8        0x45       159463
CPCLI>>>   8        0x84       4979
CPCLI>>>   8        0x85       1520
CPCLI>>>   8        0xc0       287160767
CPCLI>>>   9        0x45       55858
CPCLI>>>   9        0x84       278
CPCLI>>>   9        0x85       5262
CPCLI>>>   9        0xc0       52023205
CPCLI>>>  10        0x45       15945
CPCLI>>>  10        0x84       0
CPCLI>>>  10        0x85       2072
CPCLI>>>  10        0xc0       3575360
CPCLI>>>  11        0x45       31200
CPCLI>>>  11        0x84       6111
CPCLI>>>  11        0x85       3352
CPCLI>>>  11        0xc0       18111743
CPCLI>>>  48        0x45       1440
CPCLI>>>  48        0x84       0
CPCLI>>>  48        0x85       338
CPCLI>>>  48        0xc0       384334
CPCLI>>>  49        0x45       449261
CPCLI>>>  49        0x84       7704
CPCLI>>>  49        0x85       1223
CPCLI>>>  49        0xc0       591228940
CPCLI>>>  50        0x45       355
CPCLI>>>  50        0x84       0
CPCLI>>>  50        0x85       38
CPCLI>>>  50        0xc0       266159
CPCLI>>>  51        0x45       563084
CPCLI>>>  51        0x84       16488
CPCLI>>>  51        0x85       1746
CPCLI>>>  51        0xc0       682140494
CPCLI>>>  52        0x45       192199
CPCLI>>>  52        0x84       1433
CPCLI>>>  52        0x85       762
CPCLI>>>  52        0xc0       71608503
CPCLI>>>  53        0x45       469
CPCLI>>>  53        0x84       0
CPCLI>>>  53        0x85       40
CPCLI>>>  53        0xc0       354045
CPCLI>>>  54        0x45       39649
CPCLI>>>  54        0x84       0
CPCLI>>>  54        0x85       4337
CPCLI>>>  54        0xc0       9396239
CPCLI>>>  55        0x45       233314
CPCLI>>>  55        0x84       10737
CPCLI>>>  55        0x85       1473
CPCLI>>>  55        0xc0       73213101
CPCLI>>>  56        0x45       1069
CPCLI>>>  56        0x84       0
CPCLI>>>  56        0x85       208
CPCLI>>>  56        0xc0       465230
CPCLI>>>  57        0x45       96804
CPCLI>>>  57        0x84       102
CPCLI>>>  57        0x85       13745
CPCLI>>>  57        0xc0       19427022
CPCLI>>>  58        0x45       521
CPCLI>>>  58        0x84       0
CPCLI>>>  58        0x85       43
CPCLI>>>  58        0xc0       419349
CPCLI>>>  59        0x45       94014493
CPCLI>>>  59        0x84       3336724
CPCLI>>>  59        0x85       99535
CPCLI>>>  59        0xc0       66321389650
