
AMDuProf PROFILE REPORT

EXECUTION
Target Path:
Command Line Arguments:
Working Directory:
Environment Variables:
CPU Details:,"Family(0x17), Model(0x1), Number of Cores(96)"
Operating System:,"LinuxUbuntu 18.04.2 LTS-64 (Kernel: 4.15.0)"

PROFILE DETAILS
Profile Session Type:,"Investigate Data Access"
Profile Scope:,"System-Wide"
CPU Mask:,"0xFFFFFFFF"
CPU Affinity Mask:,"0xFFFFFFFFFFFFFFFFFFFFFFFF"
Profile Start Time:,"Apr-10-2020_22-41-10"
Profile End Time:,"Apr-10-2020_22-41-40"
Profile Duration:,"30 seconds"
Data Folder:,"/tmp/neo4j_bench/q1/five"
Call Stack Sampling:,"False"

Monitored Events:,Name,Interval,Unitmask,User,OS
,"Misaligned loads (PMCx047)",25000,0,True,True
,"Cycles not in Halt (PMCx076)",250000,0,True,True
,"Retired Instructions (PMCx0C0)",250000,0,True,True
,"LS Dispatch (PMCx029)",250000,7,True,True
,"Data Cache Refills from System (PMCx043)",25000,11,True,True
,"Requests to L2 Group1 (PMCx060)",25000,c8,True,True
,"L1 DTLB Miss (PMCx045)",25000,ff,True,True

"5 HOTTEST FUNCTIONS (Sort Event - CPU clocks)"
FUNCTION,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
"acpi_idle_do_entry",0,19275,308,1254,166,262,12,4.0714,0.0851,0.0209,0.0160,62.5812,4.0714,0.0039,0.0539,0.0000,0.0000
"native_write_msr",0,1180,192,166,2,16,0,0.8646,0.0083,0.0096,0.1627,6.1458,0.8646,0.0000,0.0010,0.0000,0.0000
"native_read_msr",0,599,44,83,10,41,5,1.8864,0.0932,0.0494,0.0735,13.6136,1.8864,0.0114,0.0227,0.0000,0.0000
"menu_select",0,458,334,104,15,86,15,0.3114,0.0257,0.0827,0.7293,1.3713,0.3114,0.0045,0.0045,0.0000,0.0000
"__tick_nohz_idle_enter",0,371,161,136,15,49,0,0.8447,0.0304,0.0360,0.4340,2.3043,0.8447,0.0000,0.0093,0.0000,0.0000


"ALL PROCESSES (Sort Event - CPU clocks)"
PROCESS,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
[kernel] (PID - 0),0,27885,3110,3542,351,1326,153,1.1389,0.0426,0.0374,0.1115,8.9662,1.1389,0.0049,0.0113,0.0000,0.0000
/usr/bin/containerd (PID - 2654),0,52,54,32,5,10,0,0.5926,0.0185,0.0312,1.0385,0.9630,0.5926,0.0000,0.0093,0.0000,0.0000
/usr/bin/dockerd (PID - 4140),0,6,1,1,1,1,1,1.0000,0.1000,0.1000,0.1667,6.0000,1.0000,0.1000,0.1000,0.0000,0.0000
kworker/0:2 (PID - 72142),0,5,1,1,0,1,0,1.0000,0.1000,0.1000,0.2000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
