CoreId,DTLB misses per 1000,"L1 ITLB miss,L2 ITLB hit per 1000","L1 ITLB miss,L2 ITLB miss per 1000",Retired Instructions
0,6.498485727407973,0.36838310790124307,0.08695452797557386,905519262
1,5.1041671743296755,0.5997271953163955,0.15629420235761024,635058745
2,6.2380547931330215,0.974881653242501,0.24033790178804482,473316939
3,3.9486142207561508,0.23810373587670428,0.023440815019957387,470290815
4,6.54516305770728,0.47190130937212643,0.02017842428437512,779347276
5,5.950676401266316,0.5846459858415504,0.05261174975929569,143998252
6,8.30569455277519,0.016251138440605523,0.00693127906438811,68241373
7,8.365010062019701,0.01607613872464261,0.015454409602695106,67553535
8,12.213203618045942,3.541475567206704,0.03151145049968801,5922196441
9,7.486540965411478,1.008988992906939,0.30137939644095885,425642899
10,7.786621278963145,0.41362760312764396,0.3386809447674525,110838831
11,8.694174618491907,0.3659094636071627,0.10811752883818011,86146993
12,6.9925258273025115,0.7541803334492405,0.33523481704177643,275496444
13,10.059049880406763,2.484407286431897,0.25018122200570375,671821005
14,6.337810530750533,0.8448521914962084,0.128628051078043,483759176
15,4.081182911641646,0.40273390196153813,0.032871673286144425,460609348
16,5.466334696202358,0.4064303918620482,0.033610503070107066,174915561
17,4.505975864174867,0.5539786311478406,0.029761939319937043,317788431
18,10.721822244549871,2.815484025035236,0.025199877998189478,38626774307
19,6.33990919271026,0.9981135834348887,0.5218842169393522,134750195
20,6.611289351918449,0.009090857701964477,0.005241480600784623,94820536
21,7.378530320028631,0.11699060264012622,0.10166698689554526,83596458
22,6.306906909233876,0.08771725590876653,0.2904355457767662,110468572
23,9.363172466066654,1.2575925923941067,0.3301295347664592,390922309
