CoreId,DTLB misses per 1000,"L1 ITLB miss,L2 ITLB hit per 1000","L1 ITLB miss,L2 ITLB miss per 1000",Retired Instructions
0,3.275082258289888,0.002621771435714082,0.09765148680848103,236862753
1,5.754656347857179,0.011231647834808475,0.9850270941310897,51817864
2,5.7569331322095065,0.0008144130477657325,0.8494328088196589,58938152
3,6.096852079938939,0.0,0.029485950365878522,1187006
4,3.1435748215573627,0.0,0.17409037777611977,201045
5,4.682650424706738,0.0,0.25784818790023506,942415
6,2.1480478768880022,0.0,0.19592476489028213,280720
7,3.984308234994636,0.0,0.8545920686582905,439976
8,1.9970727837279605,0.0,0.17098225888081853,292428
9,4.709307679153202,0.0,0.6664941966771757,456118
10,3.2881150107446655,0.0,0.08374938377584097,1050754
11,5.9135594703436825,0.0,1.0001770404934343,982826
12,5.627008507826924,0.002207704566807681,0.8915099818932124,72020506
13,6.014820933265299,0.001008161152193191,0.6672711834711716,22813813
14,6.624453120552718,0.0016410870765931238,0.28103616186657243,9749635
15,2.8188668713368688,0.0,0.11628988743138896,429960
16,2.725391718090585,0.0,0.11393778085662981,438836
17,2.506018436967882,0.0,0.13622218307791673,425775
18,2.71538445845319,0.0,0.11424607789134382,490170
19,2.3250006819722215,0.0,0.11960743580543018,476559
20,2.0872627805737065,0.0,0.3419177788305965,447476
21,2.1409113216985984,0.0,0.1351405817683501,421783
22,2.3078136917129104,0.0,0.12492438787049945,456276
23,4.6486562161861285,0.0,0.1222886704185393,2371438
