CoreId,DTLB misses per 1000,"L1 ITLB miss,L2 ITLB hit per 1000","L1 ITLB miss,L2 ITLB miss per 1000",Retired Instructions
0,11.444075266009335,3.1043317580972065,0.037265787812793896,5686797796
1,7.502151002629039,0.8813031374394653,0.025342833567273917,9188317454
2,10.664705160766012,2.890086029945251,0.1768196144281316,843695992
3,3.710312376349063,0.6061155264464885,0.08084297511951673,326422920
4,3.85694694792573,1.2119142831175367,0.2038423933829455,23787986
5,4.256788456332994,1.9856227311504149,0.2697114326470764,22613057
6,4.427736638582347,0.7870019757180259,0.04883702532133539,154022485
7,3.4443323370490284,1.152331980230082,0.10718369679834072,53618229
8,4.422568577589872,0.6787229766809142,0.42478557828807867,6210192
9,14.609324929224105,5.541835120864666,0.27767790938057224,229888651
10,7.144283232980928,2.1577001960996034,1.5388464578211423,40360102
11,11.060615865434107,3.4268291194756255,0.028432923984538512,23359750139
12,6.854803087554776,1.3404854951914122,0.2711969305070237,300080830
13,7.818380530385505,1.5633491868244862,0.22623759872976235,168849034
14,7.1286123560696915,1.0168939548616256,0.19581280089483963,408221524
15,4.902674272058045,1.116613446842585,0.07410981191497513,140548191
16,3.6295459677888835,0.7190849946491397,0.2877836513444944,13364206
17,8.588228630092654,1.831057099561644,1.9042115630597183,11386865
18,6.406638033955388,0.658052448167668,1.0146820387403654,3387268
19,4.161144112818691,1.269611912301448,0.16010048309546862,25196676
20,5.7811824408521195,0.4251831394607239,0.9013882556567346,1528753
21,11.15764336133774,3.2448988216961054,0.052624443469063364,6918800010
22,5.296121764837829,0.013575711752835994,1.025545176839084,59591719
23,8.745930633675064,1.8982581640948906,1.1667388119383504,52814734
